"מספר מושמים  ברשויות אחרות","מספר מושמים  ברשות הנבחרת","רשות  מסגרת/שלוחה","שם שלוחה","שם מסגרת","סמל מסגרת","תוכנית","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
0,1,"גוש עציון"," ","מעון יום קדר",222198,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,1,"גוש עציון"," ","מעון יום תקוע",222206,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,1,"גוש עציון"," ","מעון יום אלון שבות ח",222207,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
2,0,"מעלה אדומים"," ","מרכז הורים מתבגרים",210985,"מרכז הורים ילדים","מרכז הורים ילדים","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,37,"גוש עציון"," ","יד רחל-נ להורות יסוד",209213,"נתיבים להורות","מרכז טיפולי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,44,"גוש עציון"," ","יד רחל-נ.להורות יסוד",210549,"נתיבים להורות","מרכז טיפולי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,28,"גוש עציון"," ","נתיבים להורות מתבגרי",211466,"נתיבים להורות","מרכז טיפולי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,51,"גוש עציון"," ","נתיבים להורות גיל רך",220070,"נתיבים להורות","מרכז טיפולי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,2,"גוש עציון"," ","תמיכה ביתית -  שם חסוי",481935,"תמיכה ביתית","תמיכה ביתית","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
3,0,"ירושלים"," ","בלומנטל מ חרום אקסטר",13429,"מרכז חירום אקסטרני","מרכז חירום","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"בית שמש"," ","משפחת אומנה -  שם חסוי",13195,"משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
2,0,"חולון"," ","משפחת אומנה -  שם חסוי",14886,"משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,1,"גוש עציון"," ","משפחת אומנה -  שם חסוי",15540,"משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"אשדוד"," ","מעוז ומגדול",14996,"פנימיית מעוז","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"חדרה"," ","תלפיות בוגרים",13205,"פנימיית מעוף","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"מטה בנימין"," ","תמר- דולב מעורב",13270,"פנימיית מעוף","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
2,0,"ירושלים"," ","בית הילד אמי"ת",13380,"פנימיית מעוף","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
3,0," "," ","אמי"ת בית חג"י",13887,"פנימיית מעוף","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"חוף הכרמל-עתלית"," ","פנימיית כפר סיטרין",14367,"פנימיית מעוף","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"בני ברק"," ","קרן הילד בנות",14427,"פנימיית מעוף","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"באר שבע"," ","כפר העוגן הקהילתי",14455,"פנימיית מעוף","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"עכו"," ","מנוף נוער ופנימיות",14482,"פנימיית מעוף","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"פרדס חנה-כרכור"," ","פנימיית הפרדס",14570,"פנימיית מעוף","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"ביתר עילית"," ","יחידה לטיפול-ב.עילית",209430,"מרכז טיפול בנפגעי תקיפה מינית בגירים","מרכז טיפולי","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
1,0,"ירושלים"," ","מרכז חרדי-פ.מיניות",216784,"מרכז טיפול בנפגעי תקיפה מינית בגירים","מרכז טיפולי","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
0,23,"גוש עציון"," ","מ.לטיפול פגיעות.מ",217451,"מרכז טיפול בנפגעי תקיפה מינית בגירים","מרכז טיפולי","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
0,16,"גוש עציון"," ","מ.ל.אלימות גוש עציון",217224,"מרכז למניעת אלימות במשפחה","מרכז למניעת אלימות","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
0,9,"גוש עציון"," ","י"ש אור מרכז חוסן",216988,"מרכז טיפול בתחום אובדן ושכול","תחנה לטיפול המשפחה","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
0,13,"גוש עציון"," ","תחנה לטיפול זוגי משפ",221494,"תחנה לטיפול זוגי ומשפחתי","תחנה לטיפול המשפחה","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
2,0,"ערבות הירדן"," ","תימורה",5540,"פנימיה חסות הנוער","פנימיה","חוץ ביתי","חסות הנוער","מינהל שלם"
2,0," "," ","מלכישוע-טיפולי ילדים",447,"קהילה טיפולית חסות הנוער","קהילה טיפולית","חוץ ביתי","חסות הנוער","מינהל שלם"
0,15,"גוש עציון"," ","מטל נערים במצוקה",211861,"בית חם","בית חם","בקהילה","נוער וצעירים","מינהל שלם"
1,0,"ירושלים"," ","איתור והכוון יתד",216686,"מרכז קהילתי מצומצם","מועדון/מרכז קהילתי","בקהילה","נוער וצעירים","מינהל שלם"
